Time,Node1,Node2,Node3,Node4,Node5,Node6,Node7,Node8
138.0,143.39232137718454,107.93904320643625,85.88610668488636,72.30529020019199,64.08151049370314,59.27484705274183,56.72421357521764,55.81032185012988
141.0,143.29132851263122,107.7416944180956,85.60133142531299,71.94568770893146,63.66256055266817,58.81407764585456,56.240424531926706,55.32291323521974
144.0,143.1970596077195,107.55745038483423,85.33539149631201,71.60975709134478,63.27105656165291,58.383368718413045,55.78810899405074,54.86718195452911
147.0,143.10905797135166,107.38542590147954,85.0870252128833,71.29592869581707,62.90519755092278,57.98076567707094,55.36523326536468,54.441085707411546
150.0,143.026899205982,107.22479768154744,84.85505766299028,71.00273857528288,62.563301148854094,57.604440076483264,54.96989305983551,54.042711488319846
153.0,142.9501887470632,107.07479972991973,84.63839442267869,70.72882113932295,62.24379571244515,57.252681614453124,54.600305557205864,53.67026774689225
156.0,142.8785596136614,106.93471910131154,84.43601576975838,70.47290234891221,61.94521298828839,56.923890615059875,54.2548019035275,53.32207697234186
159.0,142.8116703491488,106.80389200728604,84.24697135086232,70.23379340947714,61.66618126713231,56.61657097300213,53.93182013823218,52.996568687036856
162.0,142.7492031333275,106.68170023875474,84.07037526146367,70.01038492207488,61.405418997863244,56.32932353339095,53.62989852900829,52.69227283335403
165.0,142.69086204946234,106.56756787455383,83.90540150262392,69.8016414562143,61.16172882922634,56.060839882274706,53.347669295668844,52.407813537387
168.0,142.63637149155494,106.4609582498808,83.75127978194053,69.60659651115209,60.93399204989999,55.80989652424879,53.08385270430422,52.14190323283884
171.0,142.58547469880784,106.36137116117604,83.60729162942489,69.42434783546318,60.72116339965364,55.575349424583926,52.8372515132729,51.89333712838102
174.0,142.53793240564264,106.26834028649252,83.47276680192704,69.25405307734356,60.52226622627107,55.35612889438522,52.606745752964066,51.660988001876675
177.0,142.49352159687842,106.18143080255983,83.34707995228091,69.0949257404919,60.33638796472305,55.151234798359326,52.39128782173864,51.44380130511383
180.0,142.45203435876473,106.10023718165588,83.22964754161373,68.94623142256528,60.16267591673732,54.959732065811984,52.189897880998956,51.240790563044584
183.0,142.41327681752315,106.02438115308328,83.11992497528291,68.80728431513991,60.000333310452284,54.780746486517224,52.00165953293145,51.05103305195632
186.0,142.3770681578971,105.95350981553753,83.01740394470312,68.67744394585709,59.84861562126298,54.613460774087294,51.82571576509728,50.87366574149097
189.0,142.343239714955,105.88729388797523,82.9216099589334,68.55611214501432,59.70682713628455,54.45711088042684,51.66126514669818,50.70788148596182
192.0,142.31163413305418,105.82542608776393,82.83210005133142,68.44273022029498,59.57431774607731,54.31098254577286,51.50755826200996,50.55292545098047
195.0,142.28210458645802,105.76761962593923,82.74846064787096,68.33677632462859,59.45047994840716,54.174408069702295,51.363894367144184,50.40809176198892
198.0,142.25451405661914,105.71360681032675,82.6703055848755,68.23776300335591,59.334746049862275,54.04676328933143,51.229618256963576,50.272720361883245
201.0,142.2287346616058,105.66313774811785,82.59727426496259,68.14523490794777,59.226585552118635,53.92746475173465,51.10411732963224,50.1461940655091
204.0,142.2046470335613,105.61597914023346,82.52902994093158,68.0587666645077,59.125502710548425,53.81596706837496,50.98681883692456,50.02793579939955
207.0,142.1821397404555,105.57191316047847,82.4652581181756,67.97796088618377,59.031034253703005,53.711760440065945,50.877187309042256,49.91740601570684
210.0,142.16110874871893,105.53073641308936,82.40566506696541,67.9024463194336,58.94274725297997,53.614368341674144,50.77472214329547,49.814100269849135
213.0,142.14145692364573,105.49225896281864,82.34997643664772,67.83187611483686,58.860237132506946,53.52334535642462,50.67895534658951,49.71754695194699
216.0,142.12309356471962,105.45630343218748,82.29793596443172,67.76592621383695,58.783125809947286,53.43827515029052,50.589449422221534,49.62730516266099
219.0,142.10593397325601,105.42270416097848,82.2493042720117,67.70429384342492,58.71105995955834,53.3587685775317,50.50579539203163,49.542962724559565
222.0,142.08989904997085,105.39130642343964,82.20385774379633,67.64669611135902,58.643709389415044,53.28446190899901,50.42761094546877,49.46413432064386
225.0,142.07491492028288,105.36196569903278,82.16138748099178,67.59286869504746,58.58076552525351,53.21501517534123,50.35453870762463,49.39045975213311
228.0,142.06091258533246,105.33454699288825,82.12169832622213,67.54256461771381,58.52193999389391,53.15011061774156,50.28624461875697,49.32160230807035
231.0,142.04782759686216,105.30892420242706,82.08460795376907,67.49555310591842,58.46696329967189,53.089451239272584,50.222416418269965,49.25724723974262
234.0,142.03559975424955,105.2849795268844,82.04994602087797,67.45161852292776,58.4155835877458,53.03275945039269,50.162762226541176,49.19710033332422
237.0,142.0241728221164,105.26260291671731,82.01755337591298,67.41055937281101,58.367565488555,52.97977580251571,50.10700921838541,49.14088657454406
240.0,142.01349426705963,105.24169156010726,81.98728131945136,67.37218737050057,58.32268903808502,52.93025780396947,50.05490238232439,49.08834889955157
243.0,142.00351501215962,105.22214940397609,81.95899091469049,67.33632657338484,58.28074866894999,52.883978813019596,50.006203360189225,49.03924702650854
246.0,141.99418920802395,105.20388670712579,81.93255234380196,67.30281257030764,58.241552267633644,52.8407270029738,49.960689361920224,48.993356362768495
249.0,141.98547401921599,105.18681962328678,81.9078443071069,67.2714917241336,58.20492029353841,52.80030439469973,49.91815215074775,48.95046698282064
